id,name,type
1,Akvo,iNGO
2,Amref Ethiopia,iNGO
3,IRC Ethiopia,iNGO
4,Shasheme Woreda,Government
5,Negelle Arsi Woreda,Government
6,WI Ethiopia,iNGO
7,BBBC,iNGO
